id,category,tone,template
1,task,gentle,"You don’t have to feel like it; just start, and the feeling will catch up."
2,task,gentle,"Just give it two minutes. If it still sucks, you can stop (you won’t)."
3,task,gentle,"Future you will be so grateful you handled this now."
4,task,gentle,"It’s one of those 5-minute things that’ll clear your head all day."
5,task,gentle,"You’ve delayed this before and regretted it. Try doing it early."
6,task,gentle,"Tiny actions beat perfect timing. Just begin."
7,task,gentle,"Momentum starts small. One move, one click."
8,task,gentle,"You made this reminder for a reason. Trust that version of you."
9,task,gentle,"Discomfort now, peace later."
10,task,gentle,"You don’t need motivation, just a micro-decision."
11,task,gentle,"Starting is the hardest part. After that, you’re rolling."
12,task,gentle,"Five minutes of focus. That’s all."
13,task,gentle,"You’ve done harder things than this."
14,task,gentle,"Action creates energy. Do it to wake yourself up."
15,task,gentle,"Don’t overthink it. Just open the tab, start the motion."
16,task,gentle,"You promised yourself this. Follow through."
17,task,gentle,"The smallest act breaks the whole resistance chain."
18,task,gentle,"Avoiding it drains you. Doing it refuels you."
19,task,gentle,"You’ll feel lighter once it’s done."
20,task,gentle,"This is how consistency is built."
21,task,medium,"You already decided this matters. Don’t disrespect your own decision."
22,task,medium,"This isn’t optional. It’s part of your deal with yourself."
23,task,medium,"Discipline > motivation. Handle it."
24,task,medium,"Stop negotiating. Just do it."
25,task,medium,"You can relax after this. Not before."
26,task,medium,"Small hinges move big doors. Turn the hinge."
27,task,medium,"You’re spending more energy avoiding it than doing it."
28,task,medium,"You said you wanted progress — this is progress."
29,task,medium,"No one else will do it for you."
30,task,medium,"Skip it and you’ll feel like trash. Do it and you’ll feel unstoppable."
31,task,medium,"Don’t break the streak."
32,task,medium,"Do it now so it’s not hanging over your head later."
33,task,medium,"Time’s moving either way. Might as well move with it."
34,task,medium,"Self-respect is built by doing things like this when it’s inconvenient."
35,task,medium,"Consistency > inspiration."
36,task,medium,"If it takes less than five minutes, knock it out now."
37,task,medium,"Ten minutes from now you’ll be proud you started."
38,task,medium,"You’ve postponed it long enough."
39,task,medium,"Resistance means importance."
40,task,medium,"This is a small rebellion against laziness."
41,task,harsh,"Stop lying to yourself. You said you’d do it."
42,task,harsh,"You’re not tired. You’re avoiding discomfort."
43,task,harsh,"Every delay teaches your brain to quit. Reverse it."
44,task,harsh,"You’re making excuses again."
45,task,harsh,"This hesitation is the habit to kill."
46,task,harsh,"Skip it and you’ll feel shame later. Do it and you’ll feel clean."
47,task,harsh,"Act like someone who follows through."
48,task,harsh,"Nothing changes if you keep skipping small things."
49,task,harsh,"Get over the drama. It’s simple."
50,task,harsh,"Discipline hurts less than regret."
51,task,playful,"Surprise: you’re the adult now."
52,task,playful,"Ignore your brain’s “later” — it’s a scam caller."
53,task,playful,"Two minutes and you’re free."
54,task,playful,"You could’ve been done already. Oops."
55,task,playful,"This isn’t a boss battle, it’s a side quest."
56,task,playful,"Do it and collect your +1 adulting XP."
57,task,playful,"Be the main character who actually gets things done."
58,task,playful,"Cue the montage music. You, doing this."
59,task,playful,"Imagine explaining to your past self why you still haven’t done this."
60,task,playful,"The universe is watching. Don’t make it cringe."
61,text,gentle,"They’ll be glad to hear from you."
62,text,gentle,"Thirty seconds of effort, one good feeling for both of you."
63,text,gentle,"No need for fancy words — just reach out."
64,text,gentle,"The longer you wait, the heavier it feels."
65,text,gentle,"You’d want them to know you care."
66,text,gentle,"Small gestures matter more than big speeches."
67,text,gentle,"It might seem small to you, but it means something to them."
68,text,gentle,"They remember consistency, not perfection."
69,text,gentle,"A quick message now prevents distance later."
70,text,gentle,"Even one line counts."
71,text,medium,"Stop overthinking it. Just send it."
72,text,medium,"They don’t care about perfect wording — they care about you."
73,text,medium,"The delay feels worse than the message itself."
74,text,medium,"You’ve rehearsed it in your head enough times."
75,text,medium,"Thirty seconds of vulnerability buys days of connection."
76,text,medium,"Don’t let pride get in the way."
77,text,medium,"You’ll feel lighter after you do it."
78,text,medium,"Relationships fade from silence, not conflict."
79,text,medium,"Keep the bridge intact. Reach out."
80,text,medium,"You’ll sleep better knowing you didn’t avoid it."
81,text,harsh,"You said connection mattered more than excuses. Prove it."
82,text,harsh,"If they matter, act like it."
83,text,harsh,"You’re not too busy — you’re hesitating."
84,text,harsh,"If they were gone tomorrow, you’d wish you’d done this."
85,text,harsh,"Stop ghosting people you care about."
86,text,harsh,"You don’t need the perfect moment, just sincerity."
87,text,harsh,"Connection dies in procrastination."
88,text,harsh,"You care. Act like it."
89,text,harsh,"Overthinking is ego disguised as care. Just do it."
90,text,harsh,"Love is shown through action."
91,text,playful,"Send it before your brain talks you out of it again."
92,text,playful,"You’re not writing poetry — it’s just a text."
93,text,playful,"Make your phone earn its keep."
94,text,playful,"You’ll look mysterious after sending it, not before."
95,text,playful,"No one’s expecting the next Iliad. Just message them."
96,text,playful,"The message won’t send itself (I checked)."
97,text,playful,"You’re not annoying them — you’re reminding them you exist."
98,text,playful,"Don’t let ego fumble a friendship."
99,text,playful,"Small act, big warmth."
100,text,playful,"You’ll feel better after. Always do."
101,task,long-term,"Every repetition builds identity. You’re proving to yourself who you are."
102,task,long-term,"Tiny moves today compound into freedom later."
103,task,long-term,"This isn’t just about finishing something. It’s about who you’re becoming."
104,task,long-term,"The hard part isn’t doing it once. It’s showing up again — and you are."
105,task,long-term,"Future you is built right now. Lay the brick."
106,task,long-term,"You’re stacking small wins. They add up to independence."
107,task,long-term,"You’re investing in the version of you that doesn’t need reminders."
108,task,long-term,"This is what long-term discipline feels like: boring, quiet, powerful."
109,task,long-term,"Each small act rewires your default setting toward progress."
110,task,long-term,"The gap between who you are and who you want to be closes here."
111,task,long-term,"This is a seed moment. It’ll bloom months from now."
112,task,long-term,"You’re building credibility with yourself — one promise at a time."
113,task,long-term,"You’re playing the infinite game. Every move counts."
114,task,long-term,"Do this not for the result, but for the type of person who does it."
115,task,long-term,"You’re turning effort into identity. Keep it up."
116,task,long-term,"Future stability is built from small acts of discipline like this."
117,task,long-term,"This is how the compound interest of discipline starts."
118,task,long-term,"No one sees the groundwork, but it’s what makes everything else possible."
119,task,long-term,"The satisfaction won’t come today — but the pride will last."
120,task,long-term,"You’re building the muscle of consistency. Each rep matters."
121,task,long-term,"This is how future opportunities recognize you — by your habits."
122,task,long-term,"Momentum compounds. Don’t break the chain."
123,task,long-term,"It’s not urgent, it’s important. Big difference."
124,task,long-term,"You’re playing the long game. Every small act shifts the curve."
125,task,long-term,"This is quiet ambition in motion. Keep stacking it."